Clase,Pieza,Superficie_1,Superficie_2,Superficie_3,Superficie_4,Superficie_5,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
I,19,Bucal,ninguna,ninguna,ninguna,ninguna,2.5,con_tejido,Estratificacion,Con fibra de vidrio,2.5,142.86,15.59,-0.14,Subobturado
I,3,Oclusal,ninguna,ninguna,ninguna,ninguna,15.25,con_tejido,Bulk,Bulk,1.25,185.71,31.31,-0.08,Subobturado
I,14,Lingual,ninguna,ninguna,ninguna,ninguna,4.25,limpia,Estratificacion,Con fibra de vidrio,2.0,124.11,20.83,-0.07,Subobturado
II,29,Mesial,Oclusal,Bucal,ninguna,ninguna,47.25,con_tejido,Estratificacion,Bulk,2.25,256.19,14.98,0.16,Sobreobturado
VI,22,Incisal,ninguna,ninguna,ninguna,ninguna,2.5,con_tejido,Estratificacion,Bulk,1.75,68.64,7.3,0.18,Sobreobturado
V,15,Lingual,ninguna,ninguna,ninguna,ninguna,4.75,limpia,Estratificacion,Compuesta,1.5,69.78,3.94,0.03,Equiobturado
II,19,Mesial,Distal,Oclusal,ninguna,ninguna,54.0,con_tejido,Estratificacion,Con fibra de vidrio,3.75,491.5,45.56,-0.03,Subobturado
I,15,Oclusal,ninguna,ninguna,ninguna,ninguna,2.25,con_tejido,Bulk,Fluida,4.0,252.68,16.62,0.14,Sobreobturado
II,5,Mesial,Oclusal,Lingual,ninguna,ninguna,45.5,limpia,Bulk,Bulk,1.5,191.22,27.91,0.12,Sobreobturado
VI,6,Incisal,ninguna,ninguna,ninguna,ninguna,23.75,limpia,Estratificacion,Fluida,3.75,280.27,28.3,0.06,Equiobturado
II,4,Distal,Oclusal,Bucal,ninguna,ninguna,46.25,limpia,Estratificacion,Bulk,1.5,195.6,9.31,0.09,Equiobturado
V,8,Bucal,ninguna,ninguna,ninguna,ninguna,18.0,limpia,Bulk,Compuesta,3.0,268.75,36.37,-0.09,Subobturado
II,31,Mesial,Distal,Oclusal,ninguna,ninguna,72.5,con_tejido,Estratificacion,Compuesta,1.75,416.25,29.51,0.17,Sobreobturado
V,13,Bucal,ninguna,ninguna,ninguna,ninguna,9.0,con_tejido,Estratificacion,Fluida,3.5,228.12,15.0,-0.17,Subobturado
I,13,Bucal,ninguna,ninguna,ninguna,ninguna,9.25,limpia,Estratificacion,Compuesta,2.5,157.75,25.6,-0.11,Subobturado
III,22,Distal,Lingual,ninguna,ninguna,ninguna,12.0,con_tejido,Bulk,Bulk,3.75,158.75,7.55,0.08,Equiobturado
IV,24,Distal,Bucal,Lingual,ninguna,ninguna,25.5,con_tejido,Bulk,Fluida,2.0,175.17,8.93,0.11,Sobreobturado
II,20,Distal,Oclusal,ninguna,ninguna,ninguna,30.25,limpia,Estratificacion,Con fibra de vidrio,2.75,110.08,11.42,0.15,Sobreobturado
I,12,Oclusal,ninguna,ninguna,ninguna,ninguna,10.25,con_tejido,Bulk,Con fibra de vidrio,2.0,144.25,11.18,0.14,Sobreobturado
V,5,Lingual,ninguna,ninguna,ninguna,ninguna,16.0,con_tejido,Estratificacion,Bulk,2.75,236.25,7.23,-0.15,Subobturado
I,20,Lingual,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Bulk,Fluida,2.0,92.5,5.88,0.12,Sobreobturado
V,31,Lingual,ninguna,ninguna,ninguna,ninguna,14.5,limpia,Estratificacion,Compuesta,3.75,290.62,49.08,-0.2,Subobturado
I,23,Lingual,ninguna,ninguna,ninguna,ninguna,3.0,con_tejido,Estratificacion,Fluida,3.5,130.0,12.78,-0.17,Subobturado
II,15,Distal,Oclusal,Lingual,ninguna,ninguna,61.5,con_tejido,Bulk,Compuesta,3.5,500.25,23.11,0.01,Equiobturado
II,20,Distal,Oclusal,Lingual,ninguna,ninguna,31.75,con_tejido,Bulk,Compuesta,2.25,165.67,20.98,-0.14,Subobturado
II,13,Mesial,Oclusal,Lingual,ninguna,ninguna,44.25,con_tejido,Bulk,Compuesta,1.75,202.17,16.63,-0.03,Subobturado
I,30,Bucal,ninguna,ninguna,ninguna,ninguna,15.25,limpia,Estratificacion,Bulk,2.0,241.96,38.74,0.02,Equiobturado
V,30,Bucal,ninguna,ninguna,ninguna,ninguna,36.0,con_tejido,Estratificacion,Fluida,2.5,249.64,14.81,0.18,Sobreobturado
V,18,Lingual,ninguna,ninguna,ninguna,ninguna,46.0,con_tejido,Bulk,Bulk,1.5,195.0,27.82,-0.08,Subobturado
I,1,Bucal,ninguna,ninguna,ninguna,ninguna,4.75,limpia,Estratificacion,Bulk,4.0,178.12,28.84,0.12,Sobreobturado
II,21,Mesial,Oclusal,Bucal,ninguna,ninguna,29.0,limpia,Estratificacion,Con fibra de vidrio,3.75,259.11,19.99,0.1,Equiobturado
I,5,Lingual,ninguna,ninguna,ninguna,ninguna,11.25,limpia,Bulk,Fluida,3.75,232.0,21.23,0.1,Equiobturado
I,5,Lingual,ninguna,ninguna,ninguna,ninguna,2.5,limpia,Estratificacion,Compuesta,2.5,97.0,12.4,0.09,Equiobturado
V,32,Lingual,ninguna,ninguna,ninguna,ninguna,15.0,con_tejido,Bulk,Compuesta,2.0,179.38,8.99,0.12,Sobreobturado
II,2,Mesial,Distal,Oclusal,Lingual,ninguna,106.75,limpia,Bulk,Bulk,3.25,887.0,86.32,0.12,Sobreobturado
I,4,Lingual,ninguna,ninguna,ninguna,ninguna,4.0,limpia,Bulk,Compuesta,2.0,88.0,8.98,-0.1,Subobturado
II,15,Distal,Oclusal,ninguna,ninguna,ninguna,49.75,limpia,Estratificacion,Bulk,2.5,274.25,44.82,0.02,Equiobturado
II,15,Mesial,Oclusal,ninguna,ninguna,ninguna,48.5,limpia,Estratificacion,Fluida,2.75,278.0,45.19,-0.16,Subobturado
III,6,Mesial,Lingual,ninguna,ninguna,ninguna,13.0,limpia,Estratificacion,Con fibra de vidrio,3.0,142.25,17.51,-0.07,Subobturado
II,18,Mesial,Oclusal,Lingual,ninguna,ninguna,52.5,limpia,Bulk,Compuesta,2.25,381.25,13.84,0.13,Sobreobturado
I,7,Oclusal,ninguna,ninguna,ninguna,ninguna,3.75,con_tejido,Estratificacion,Compuesta,1.0,55.62,7.94,0.19,Sobreobturado
I,18,Bucal,ninguna,ninguna,ninguna,ninguna,15.5,con_tejido,Bulk,Bulk,2.75,300.89,53.32,0.07,Equiobturado
I,14,Lingual,ninguna,ninguna,ninguna,ninguna,3.5,limpia,Bulk,Compuesta,3.25,209.82,29.76,-0.2,Subobturado
VI,22,Incisal,ninguna,ninguna,ninguna,ninguna,10.25,con_tejido,Estratificacion,Con fibra de vidrio,2.25,133.21,23.53,0.19,Sobreobturado
IV,6,Mesial,Bucal,Lingual,ninguna,ninguna,20.25,con_tejido,Estratificacion,Con fibra de vidrio,2.0,157.42,11.96,0.12,Sobreobturado
IV,27,Mesial,Bucal,Lingual,ninguna,ninguna,22.0,limpia,Bulk,Bulk,3.75,287.58,27.21,-0.16,Subobturado
III,9,Mesial,Lingual,ninguna,ninguna,ninguna,15.25,con_tejido,Bulk,Fluida,2.25,136.06,10.12,0.17,Sobreobturado
II,15,Mesial,Oclusal,ninguna,ninguna,ninguna,50.0,con_tejido,Estratificacion,Bulk,2.75,282.5,23.83,0.16,Sobreobturado
V,5,Lingual,ninguna,ninguna,ninguna,ninguna,13.75,con_tejido,Bulk,Fluida,3.5,266.72,39.63,0.14,Sobreobturado
I,29,Lingual,ninguna,ninguna,ninguna,ninguna,9.75,limpia,Bulk,Fluida,2.5,162.25,27.48,0.01,Equiobturado
II,18,Mesial,Distal,Oclusal,Bucal,Lingual,119.5,con_tejido,Bulk,Con fibra de vidrio,3.75,1183.89,53.51,-0.04,Subobturado
I,14,Lingual,ninguna,ninguna,ninguna,ninguna,9.5,limpia,Bulk,Bulk,1.25,124.11,4.26,0.19,Sobreobturado
II,5,Mesial,Oclusal,Lingual,ninguna,ninguna,37.25,limpia,Estratificacion,Compuesta,1.25,124.79,6.99,0.2,Sobreobturado
IV,24,Distal,Bucal,Lingual,ninguna,ninguna,26.0,limpia,Estratificacion,Bulk,2.75,230.11,41.08,0.06,Equiobturado
I,16,Lingual,ninguna,ninguna,ninguna,ninguna,5.25,limpia,Bulk,Compuesta,2.25,125.62,20.19,0.14,Sobreobturado
II,15,Mesial,Distal,Oclusal,Lingual,ninguna,97.0,con_tejido,Bulk,Fluida,2.0,748.0,83.01,0.08,Equiobturado
II,4,Mesial,Oclusal,ninguna,ninguna,ninguna,30.25,limpia,Bulk,Fluida,1.0,52.33,4.76,0.07,Equiobturado
I,10,Oclusal,ninguna,ninguna,ninguna,ninguna,4.5,limpia,Estratificacion,Fluida,3.5,156.25,9.34,-0.19,Subobturado
I,17,Oclusal,ninguna,ninguna,ninguna,ninguna,4.75,con_tejido,Estratificacion,Compuesta,1.75,99.38,3.23,-0.09,Subobturado
II,19,Mesial,Oclusal,Lingual,ninguna,ninguna,54.75,limpia,Estratificacion,Compuesta,3.75,494.12,25.45,0.08,Equiobturado
V,14,Bucal,ninguna,ninguna,ninguna,ninguna,4.75,limpia,Bulk,Fluida,1.25,48.53,5.98,0.14,Sobreobturado
II,17,Mesial,Distal,Oclusal,ninguna,ninguna,42.25,con_tejido,Bulk,Compuesta,2.5,291.38,15.35,0.01,Equiobturado
II,12,Mesial,Oclusal,Lingual,ninguna,ninguna,39.5,con_tejido,Bulk,Compuesta,4.0,338.68,34.07,0.15,Sobreobturado
I,14,Lingual,ninguna,ninguna,ninguna,ninguna,3.25,limpia,Bulk,Bulk,2.25,132.14,22.16,0.18,Sobreobturado
II,31,Mesial,Distal,Oclusal,Bucal,ninguna,93.0,limpia,Estratificacion,Fluida,3.0,812.0,138.51,0.15,Sobreobturado
II,12,Mesial,Oclusal,ninguna,ninguna,ninguna,36.0,con_tejido,Estratificacion,Compuesta,1.75,96.05,6.75,-0.07,Subobturado
I,10,Oclusal,ninguna,ninguna,ninguna,ninguna,2.0,con_tejido,Bulk,Compuesta,1.0,25.0,3.53,0.13,Sobreobturado
I,27,Lingual,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Bulk,Fluida,1.25,99.38,11.51,-0.13,Subobturado
II,5,Mesial,Oclusal,Bucal,ninguna,ninguna,49.75,con_tejido,Bulk,Bulk,2.5,289.04,41.88,0.01,Equiobturado
V,2,Lingual,ninguna,ninguna,ninguna,ninguna,39.75,con_tejido,Bulk,Bulk,4.0,388.53,55.38,0.11,Sobreobturado
V,17,Lingual,ninguna,ninguna,ninguna,ninguna,8.75,con_tejido,Bulk,Con fibra de vidrio,3.5,226.09,31.15,-0.07,Subobturado
II,14,Distal,Oclusal,Bucal,ninguna,ninguna,66.75,con_tejido,Estratificacion,Bulk,3.25,501.12,35.51,-0.16,Subobturado
I,11,Bucal,ninguna,ninguna,ninguna,ninguna,2.25,limpia,Bulk,Bulk,3.75,125.62,17.83,0.19,Sobreobturado
III,10,Mesial,Lingual,ninguna,ninguna,ninguna,8.5,con_tejido,Bulk,Compuesta,3.75,129.88,23.08,0.01,Equiobturado
V,5,Bucal,ninguna,ninguna,ninguna,ninguna,12.5,con_tejido,Estratificacion,Bulk,1.75,142.81,7.0,0.19,Sobreobturado
II,28,Distal,Oclusal,ninguna,ninguna,ninguna,34.75,limpia,Estratificacion,Bulk,3.25,141.43,20.81,0.02,Equiobturado
I,1,Oclusal,ninguna,ninguna,ninguna,ninguna,3.75,con_tejido,Estratificacion,Bulk,2.25,99.38,9.92,-0.15,Subobturado
II,1,Mesial,Distal,Oclusal,ninguna,ninguna,49.0,con_tejido,Bulk,Compuesta,2.5,321.5,29.77,-0.2,Subobturado
II,31,Distal,Oclusal,Lingual,ninguna,ninguna,70.75,limpia,Estratificacion,Con fibra de vidrio,3.0,497.62,62.48,0.18,Sobreobturado
II,15,Distal,Oclusal,Lingual,ninguna,ninguna,74.0,con_tejido,Bulk,Con fibra de vidrio,2.75,491.5,62.29,-0.15,Subobturado
II,32,Distal,Oclusal,Lingual,ninguna,ninguna,58.0,con_tejido,Estratificacion,Compuesta,1.25,272.41,26.15,0.08,Equiobturado
I,17,Bucal,ninguna,ninguna,ninguna,ninguna,4.5,con_tejido,Bulk,Compuesta,2.5,121.25,12.57,0.14,Sobreobturado
II,15,Distal,Oclusal,ninguna,ninguna,ninguna,59.0,limpia,Bulk,Fluida,3.0,317.0,34.25,0.19,Sobreobturado
VI,23,Incisal,ninguna,ninguna,ninguna,ninguna,18.0,limpia,Bulk,Con fibra de vidrio,1.25,115.27,7.57,0.02,Equiobturado
V,25,Lingual,ninguna,ninguna,ninguna,ninguna,5.5,limpia,Bulk,Fluida,2.75,150.94,17.69,0.18,Sobreobturado
II,4,Distal,Oclusal,Bucal,ninguna,ninguna,42.25,limpia,Estratificacion,Bulk,2.0,208.74,14.47,0.01,Equiobturado
IV,25,Mesial,Bucal,Lingual,ninguna,ninguna,15.0,limpia,Estratificacion,Bulk,3.75,263.92,25.0,-0.09,Subobturado
V,10,Bucal,ninguna,ninguna,ninguna,ninguna,8.75,limpia,Bulk,Con fibra de vidrio,2.0,128.59,20.39,0.13,Sobreobturado
I,25,Oclusal,ninguna,ninguna,ninguna,ninguna,4.0,con_tejido,Estratificacion,Fluida,3.25,138.75,14.84,-0.03,Subobturado
II,1,Distal,Oclusal,ninguna,ninguna,ninguna,46.75,con_tejido,Bulk,Con fibra de vidrio,1.75,184.73,26.7,0.14,Sobreobturado
II,21,Mesial,Oclusal,ninguna,ninguna,ninguna,36.75,limpia,Estratificacion,Bulk,3.75,164.52,14.88,-0.06,Subobturado
I,2,Oclusal,ninguna,ninguna,ninguna,ninguna,6.0,limpia,Bulk,Bulk,1.75,124.11,17.94,0.01,Equiobturado
II,16,Mesial,Distal,Oclusal,ninguna,ninguna,52.5,con_tejido,Estratificacion,Compuesta,3.0,372.82,61.15,-0.08,Subobturado
I,27,Oclusal,ninguna,ninguna,ninguna,ninguna,3.0,con_tejido,Estratificacion,Compuesta,1.75,68.75,2.81,0.09,Equiobturado
II,13,Mesial,Distal,Oclusal,ninguna,ninguna,34.5,con_tejido,Estratificacion,Fluida,1.25,108.73,17.91,-0.13,Subobturado
II,20,Mesial,Oclusal,ninguna,ninguna,ninguna,43.5,con_tejido,Bulk,Fluida,3.25,170.3,28.84,-0.17,Subobturado
II,20,Distal,Oclusal,Bucal,ninguna,ninguna,43.5,con_tejido,Bulk,Compuesta,1.75,197.79,12.52,0.13,Sobreobturado
I,7,Lingual,ninguna,ninguna,ninguna,ninguna,3.75,con_tejido,Bulk,Con fibra de vidrio,2.75,116.88,16.49,0.09,Equiobturado
II,16,Mesial,Distal,Oclusal,ninguna,ninguna,50.75,con_tejido,Bulk,Bulk,1.5,257.91,36.82,0.04,Equiobturado
II,28,Mesial,Oclusal,Bucal,ninguna,ninguna,45.75,limpia,Bulk,Con fibra de vidrio,1.25,174.43,14.26,0.0,Equiobturado
II,32,Distal,Oclusal,Bucal,ninguna,ninguna,62.0,limpia,Estratificacion,Compuesta,2.75,397.36,51.44,0.16,Sobreobturado
I,5,Lingual,ninguna,ninguna,ninguna,ninguna,10.5,limpia,Estratificacion,Bulk,3.5,214.0,9.24,-0.09,Subobturado
II,15,Mesial,Oclusal,ninguna,ninguna,ninguna,41.5,con_tejido,Bulk,Compuesta,3.0,264.5,35.69,0.05,Equiobturado
I,14,Oclusal,ninguna,ninguna,ninguna,ninguna,7.0,limpia,Bulk,Bulk,1.75,134.82,19.27,0.05,Equiobturado
I,16,Bucal,ninguna,ninguna,ninguna,ninguna,3.75,limpia,Estratificacion,Bulk,3.75,151.88,24.39,0.16,Sobreobturado
II,29,Mesial,Distal,Oclusal,ninguna,ninguna,33.5,limpia,Estratificacion,Fluida,1.5,121.14,6.22,0.01,Equiobturado
I,25,Lingual,ninguna,ninguna,ninguna,ninguna,5.75,limpia,Bulk,Con fibra de vidrio,3.5,178.12,23.17,-0.1,Subobturado
II,31,Mesial,Oclusal,Bucal,ninguna,ninguna,52.75,con_tejido,Bulk,Bulk,1.0,294.62,35.5,0.05,Equiobturado
V,2,Bucal,ninguna,ninguna,ninguna,ninguna,25.5,limpia,Estratificacion,Bulk,2.5,217.77,31.52,-0.16,Subobturado
II,19,Distal,Oclusal,ninguna,ninguna,ninguna,47.5,con_tejido,Bulk,Compuesta,2.75,275.0,19.39,-0.15,Subobturado
III,11,Distal,Lingual,ninguna,ninguna,ninguna,11.0,limpia,Estratificacion,Fluida,3.0,125.75,22.03,0.06,Equiobturado
III,27,Distal,Lingual,ninguna,ninguna,ninguna,15.75,con_tejido,Bulk,Con fibra de vidrio,4.0,197.94,8.83,-0.18,Subobturado
IV,8,Distal,Bucal,Lingual,ninguna,ninguna,43.5,con_tejido,Estratificacion,Fluida,3.75,360.27,45.01,0.08,Equiobturado
IV,22,Distal,Bucal,Lingual,ninguna,ninguna,20.75,limpia,Estratificacion,Con fibra de vidrio,2.0,159.11,15.9,0.12,Sobreobturado
I,20,Lingual,ninguna,ninguna,ninguna,ninguna,4.5,limpia,Estratificacion,Compuesta,2.0,92.5,8.61,0.03,Equiobturado
II,31,Mesial,Distal,Oclusal,Bucal,Lingual,133.25,con_tejido,Bulk,Fluida,2.75,1145.0,54.45,-0.02,Subobturado
II,5,Mesial,Oclusal,Bucal,ninguna,ninguna,37.75,limpia,Bulk,Bulk,1.5,145.96,11.46,-0.08,Subobturado
II,15,Mesial,Distal,Oclusal,Lingual,ninguna,85.5,con_tejido,Estratificacion,Bulk,3.25,802.0,63.49,0.19,Sobreobturado
IV,11,Mesial,Bucal,Lingual,ninguna,ninguna,41.25,limpia,Bulk,Compuesta,3.0,299.42,30.49,-0.14,Subobturado
II,18,Mesial,Oclusal,ninguna,ninguna,ninguna,51.5,con_tejido,Bulk,Con fibra de vidrio,2.25,272.0,31.45,0.16,Sobreobturado
II,31,Mesial,Distal,Oclusal,ninguna,ninguna,59.5,limpia,Bulk,Fluida,2.5,423.25,46.12,-0.09,Subobturado
II,3,Distal,Oclusal,Lingual,ninguna,ninguna,78.25,con_tejido,Bulk,Fluida,1.25,401.38,40.1,0.12,Sobreobturado
II,18,Distal,Oclusal,Bucal,ninguna,ninguna,76.75,limpia,Bulk,Compuesta,1.0,378.62,46.81,0.13,Sobreobturado
V,1,Lingual,ninguna,ninguna,ninguna,ninguna,10.0,limpia,Estratificacion,Compuesta,3.5,236.25,25.37,-0.09,Subobturado
V,31,Bucal,ninguna,ninguna,ninguna,ninguna,55.0,con_tejido,Estratificacion,Fluida,3.25,371.07,21.97,0.07,Equiobturado
I,22,Oclusal,ninguna,ninguna,ninguna,ninguna,3.5,limpia,Estratificacion,Bulk,4.0,156.25,28.05,-0.05,Subobturado
II,15,Mesial,Oclusal,Lingual,ninguna,ninguna,53.75,limpia,Bulk,Compuesta,2.5,403.12,62.97,0.04,Equiobturado
I,21,Oclusal,ninguna,ninguna,ninguna,ninguna,2.75,con_tejido,Bulk,Fluida,2.5,99.25,11.25,0.06,Equiobturado
II,21,Mesial,Oclusal,Bucal,ninguna,ninguna,35.5,con_tejido,Estratificacion,Con fibra de vidrio,3.5,278.82,28.93,0.15,Sobreobturado
V,15,Bucal,ninguna,ninguna,ninguna,ninguna,25.0,con_tejido,Estratificacion,Compuesta,3.75,322.5,51.57,0.17,Sobreobturado
II,2,Distal,Oclusal,Lingual,ninguna,ninguna,43.5,con_tejido,Estratificacion,Compuesta,3.75,454.75,48.97,0.1,Equiobturado
II,3,Mesial,Distal,Oclusal,Bucal,Lingual,126.5,con_tejido,Estratificacion,Bulk,2.5,1090.0,140.38,0.08,Equiobturado
I,29,Bucal,ninguna,ninguna,ninguna,ninguna,3.75,con_tejido,Estratificacion,Bulk,1.75,74.5,6.71,0.05,Equiobturado
I,26,Oclusal,ninguna,ninguna,ninguna,ninguna,5.0,con_tejido,Estratificacion,Compuesta,1.75,103.75,15.75,-0.16,Subobturado
V,14,Lingual,ninguna,ninguna,ninguna,ninguna,21.0,limpia,Estratificacion,Bulk,1.25,97.86,4.04,0.12,Sobreobturado
I,2,Bucal,ninguna,ninguna,ninguna,ninguna,9.0,con_tejido,Bulk,Fluida,3.25,268.75,28.58,-0.15,Subobturado
III,9,Distal,Lingual,ninguna,ninguna,ninguna,15.75,con_tejido,Estratificacion,Bulk,4.0,197.94,11.42,0.05,Equiobturado
II,19,Mesial,Oclusal,ninguna,ninguna,ninguna,55.5,con_tejido,Bulk,Con fibra de vidrio,3.75,329.0,12.83,0.16,Sobreobturado
I,21,Oclusal,ninguna,ninguna,ninguna,ninguna,6.75,con_tejido,Bulk,Compuesta,3.75,191.5,22.99,-0.04,Subobturado
II,1,Mesial,Oclusal,Bucal,ninguna,ninguna,59.5,limpia,Bulk,Compuesta,3.75,457.61,69.52,-0.03,Subobturado
V,18,Bucal,ninguna,ninguna,ninguna,ninguna,15.5,limpia,Estratificacion,Con fibra de vidrio,3.75,293.66,43.71,0.2,Sobreobturado
II,32,Mesial,Oclusal,Lingual,ninguna,ninguna,63.25,limpia,Estratificacion,Con fibra de vidrio,3.75,474.34,25.92,-0.16,Subobturado
II,14,Mesial,Distal,Oclusal,Bucal,Lingual,127.0,limpia,Bulk,Fluida,1.25,967.22,68.13,-0.05,Subobturado
V,28,Bucal,ninguna,ninguna,ninguna,ninguna,12.0,limpia,Estratificacion,Compuesta,3.25,236.25,12.83,-0.06,Subobturado
II,30,Mesial,Distal,Oclusal,Bucal,ninguna,107.75,limpia,Bulk,Compuesta,3.5,911.0,152.29,0.08,Equiobturado
V,27,Bucal,ninguna,ninguna,ninguna,ninguna,8.25,con_tejido,Bulk,Con fibra de vidrio,3.0,189.53,15.73,0.08,Equiobturado
I,15,Oclusal,ninguna,ninguna,ninguna,ninguna,8.25,limpia,Bulk,Bulk,1.0,91.96,9.32,0.04,Equiobturado
