Clase,Pieza,Superficie_1,Superficie_2,Tamanio_cavidad_mm,Estado_cavidad,Tecnica,Tipo_resina,Indice_contraccion_%,Peso_resina_inicial_mg,Peso_sobrante_mg,Margen_cavo_mm,Ajuste_margen
III,6,Distal,ninguna,2.84,limpia,Bulk,Fluida,3.5,88.14,3.51,3.11,Sobreobturado
III,6,Distal,ninguna,2.85,con_tejido,Bulk,Fluida,3.5,108.95,11.73,2.67,Subobturado
III,6,Distal,ninguna,1.65,limpia,Bulk,Bulk,1.5,93.75,4.0,0.92,Subobturado
III,6,Distal,ninguna,1.63,con_tejido,Bulk,Compuesta,2.0,112.64,7.24,1.75,Equiobturado
III,6,Distal,ninguna,1.98,con_tejido,Bulk,Fluida,3.5,95.17,16.83,2.13,Equiobturado
III,6,Distal,ninguna,4.42,con_tejido,Estratificacion,Bulk,1.5,91.1,7.11,4.95,Sobreobturado
III,6,Distal,ninguna,1.68,con_tejido,Bulk,Fluida,3.5,78.11,6.69,2.5,Sobreobturado
III,6,Distal,ninguna,3.04,limpia,Estratificacion,Compuesta,2.0,84.35,1.17,2.11,Subobturado
III,6,Distal,ninguna,4.61,con_tejido,Estratificacion,Bulk,1.5,92.84,7.48,5.45,Sobreobturado
III,6,Distal,ninguna,2.32,con_tejido,Estratificacion,Compuesta,2.0,115.02,13.13,1.59,Subobturado
III,6,Distal,ninguna,1.69,con_tejido,Bulk,Compuesta,2.0,62.47,7.65,0.82,Subobturado
III,6,Distal,ninguna,4.02,con_tejido,Bulk,Fluida,3.5,64.19,8.74,4.99,Sobreobturado
III,6,Distal,ninguna,2.16,con_tejido,Estratificacion,Bulk,1.5,96.48,7.21,2.35,Equiobturado
III,6,Distal,ninguna,3.83,con_tejido,Estratificacion,Fluida,3.5,97.12,9.42,3.64,Equiobturado
III,6,Distal,ninguna,2.51,con_tejido,Bulk,Bulk,1.5,115.39,22.26,3.43,Sobreobturado
III,6,Distal,ninguna,3.9,limpia,Bulk,Bulk,1.5,60.35,0.36,4.09,Sobreobturado
III,6,Distal,ninguna,3.33,con_tejido,Estratificacion,Fluida,3.5,93.67,17.91,4.24,Sobreobturado
III,7,Mesial,ninguna,3.62,con_tejido,Bulk,Bulk,1.5,66.52,7.11,2.78,Subobturado
III,7,Mesial,ninguna,3.59,con_tejido,Estratificacion,Compuesta,2.0,89.05,4.11,3.38,Subobturado
III,7,Mesial,ninguna,2.68,limpia,Estratificacion,Fluida,3.5,108.73,13.51,3.22,Sobreobturado
III,7,Mesial,ninguna,5.0,con_tejido,Bulk,Con fibra de vidrio,1.0,60.45,1.3,5.29,Sobreobturado
III,7,Mesial,ninguna,3.05,con_tejido,Bulk,Fluida,3.5,85.18,7.6,3.04,Equiobturado
III,7,Mesial,ninguna,3.05,con_tejido,Bulk,Fluida,3.5,61.12,2.8,3.71,Sobreobturado
III,7,Mesial,ninguna,4.54,con_tejido,Estratificacion,Con fibra de vidrio,1.0,77.4,4.16,3.72,Subobturado
III,7,Mesial,ninguna,4.64,con_tejido,Bulk,Fluida,3.5,116.28,8.85,5.62,Sobreobturado
III,7,Mesial,ninguna,3.43,limpia,Bulk,Bulk,1.5,118.21,7.76,3.58,Sobreobturado
III,7,Mesial,ninguna,3.49,limpia,Bulk,Bulk,1.5,113.77,22.08,4.14,Sobreobturado
III,7,Mesial,ninguna,1.97,limpia,Estratificacion,Compuesta,2.0,88.04,8.37,1.82,Equiobturado
III,7,Mesial,ninguna,1.6,con_tejido,Estratificacion,Fluida,3.5,94.39,17.39,1.73,Equiobturado
III,7,Mesial,ninguna,2.37,con_tejido,Bulk,Compuesta,2.0,72.44,7.89,2.15,Subobturado
III,7,Mesial,ninguna,1.6,limpia,Estratificacion,Bulk,1.5,97.16,1.95,1.55,Equiobturado
III,7,Mesial,ninguna,3.71,limpia,Estratificacion,Con fibra de vidrio,1.0,112.57,8.58,2.86,Subobturado
III,7,Mesial,ninguna,1.45,con_tejido,Bulk,Compuesta,2.0,103.56,19.04,1.45,Equiobturado
III,7,Mesial,ninguna,2.37,con_tejido,Estratificacion,Fluida,3.5,97.69,4.31,3.37,Sobreobturado
III,7,Mesial,ninguna,4.49,con_tejido,Bulk,Fluida,3.5,71.05,10.5,3.78,Subobturado
III,7,Mesial,ninguna,2.16,con_tejido,Estratificacion,Bulk,1.5,110.67,20.8,2.3,Sobreobturado
III,7,Mesial,ninguna,3.0,limpia,Bulk,Fluida,3.5,85.57,3.19,2.43,Subobturado
III,7,Mesial,ninguna,4.35,limpia,Bulk,Con fibra de vidrio,1.0,106.37,16.58,5.1,Sobreobturado
III,7,Mesial,ninguna,2.31,limpia,Estratificacion,Compuesta,2.0,108.57,17.58,2.21,Equiobturado
III,7,Mesial,ninguna,3.33,limpia,Bulk,Con fibra de vidrio,1.0,90.95,15.67,4.24,Sobreobturado
III,7,Mesial,ninguna,1.25,con_tejido,Bulk,Con fibra de vidrio,1.0,79.98,7.67,0.75,Subobturado
III,7,Mesial,ninguna,3.88,limpia,Estratificacion,Con fibra de vidrio,1.0,98.06,5.21,3.69,Equiobturado
III,7,Distal,ninguna,2.37,limpia,Estratificacion,Compuesta,2.0,79.74,4.0,2.24,Subobturado
III,7,Distal,ninguna,4.64,limpia,Bulk,Compuesta,2.0,70.65,13.63,4.0,Subobturado
III,7,Distal,ninguna,1.04,con_tejido,Bulk,Compuesta,2.0,80.72,11.14,1.57,Sobreobturado
III,7,Distal,ninguna,1.08,limpia,Estratificacion,Fluida,3.5,70.91,10.79,1.48,Sobreobturado
III,7,Distal,ninguna,4.33,limpia,Estratificacion,Con fibra de vidrio,1.0,86.95,10.59,3.38,Subobturado
III,7,Distal,ninguna,1.2,con_tejido,Bulk,Con fibra de vidrio,1.0,60.13,0.46,0.9,Subobturado
III,7,Distal,ninguna,2.76,limpia,Bulk,Con fibra de vidrio,1.0,92.15,13.6,2.08,Subobturado
III,7,Distal,ninguna,4.57,con_tejido,Estratificacion,Compuesta,2.0,79.73,12.8,5.25,Sobreobturado
III,7,Distal,ninguna,1.91,limpia,Bulk,Fluida,3.5,66.38,7.73,1.25,Subobturado
III,7,Distal,ninguna,1.7,con_tejido,Estratificacion,Fluida,3.5,113.13,9.31,1.82,Equiobturado
III,7,Distal,ninguna,4.19,con_tejido,Bulk,Fluida,3.5,97.89,18.25,4.07,Equiobturado
III,7,Distal,ninguna,3.84,limpia,Bulk,Con fibra de vidrio,1.0,66.66,9.96,3.68,Subobturado
III,7,Distal,ninguna,4.81,con_tejido,Estratificacion,Compuesta,2.0,86.86,7.95,4.58,Subobturado
III,7,Distal,ninguna,2.57,limpia,Bulk,Bulk,1.5,112.64,2.17,2.67,Equiobturado
III,7,Distal,ninguna,4.17,limpia,Bulk,Con fibra de vidrio,1.0,115.92,6.96,4.17,Equiobturado
III,7,Distal,ninguna,3.57,con_tejido,Estratificacion,Compuesta,2.0,80.32,13.15,3.62,Equiobturado
III,7,Distal,ninguna,1.47,con_tejido,Estratificacion,Compuesta,2.0,102.32,5.37,2.33,Sobreobturado
III,7,Distal,ninguna,5.0,limpia,Estratificacion,Compuesta,2.0,66.89,10.21,4.21,Subobturado
III,7,Distal,ninguna,2.88,limpia,Estratificacion,Compuesta,2.0,67.08,1.78,2.72,Equiobturado
III,7,Distal,ninguna,4.95,con_tejido,Estratificacion,Bulk,1.5,112.77,15.49,5.47,Sobreobturado
III,7,Distal,ninguna,3.0,con_tejido,Bulk,Con fibra de vidrio,1.0,115.06,20.85,2.93,Equiobturado
III,7,Distal,ninguna,3.47,con_tejido,Bulk,Fluida,3.5,69.94,2.54,3.57,Sobreobturado
III,7,Distal,ninguna,3.24,limpia,Bulk,Compuesta,2.0,65.34,9.12,3.0,Subobturado
III,7,Distal,ninguna,3.66,con_tejido,Estratificacion,Compuesta,2.0,87.58,15.22,4.53,Sobreobturado
III,7,Distal,ninguna,2.2,limpia,Estratificacion,Con fibra de vidrio,1.0,99.32,8.36,2.95,Sobreobturado
III,8,Mesial,ninguna,4.68,limpia,Bulk,Fluida,3.5,74.65,2.87,4.7,Sobreobturado
III,8,Mesial,ninguna,4.34,limpia,Estratificacion,Compuesta,2.0,79.98,14.81,4.47,Equiobturado
III,8,Mesial,ninguna,3.08,con_tejido,Estratificacion,Compuesta,2.0,113.94,4.6,2.92,Equiobturado
III,8,Mesial,ninguna,1.94,con_tejido,Bulk,Fluida,3.5,71.61,8.0,1.78,Equiobturado
III,8,Mesial,ninguna,2.67,limpia,Bulk,Con fibra de vidrio,1.0,83.29,3.97,2.07,Subobturado
III,8,Mesial,ninguna,4.57,limpia,Bulk,Con fibra de vidrio,1.0,88.63,6.56,5.1,Sobreobturado
III,8,Mesial,ninguna,4.08,con_tejido,Bulk,Compuesta,2.0,92.92,0.73,4.27,Sobreobturado
III,8,Mesial,ninguna,2.53,limpia,Bulk,Bulk,1.5,84.8,12.58,1.54,Subobturado
III,8,Mesial,ninguna,1.11,limpia,Bulk,Bulk,1.5,65.16,1.85,1.19,Sobreobturado
III,8,Mesial,ninguna,3.76,con_tejido,Estratificacion,Bulk,1.5,112.68,3.03,4.29,Sobreobturado
III,8,Mesial,ninguna,3.72,limpia,Bulk,Compuesta,2.0,67.82,11.08,3.81,Equiobturado
III,8,Mesial,ninguna,3.93,con_tejido,Estratificacion,Con fibra de vidrio,1.0,96.61,9.04,3.5,Subobturado
III,8,Mesial,ninguna,1.43,limpia,Estratificacion,Fluida,3.5,67.8,10.06,0.5,Subobturado
III,8,Mesial,ninguna,1.31,limpia,Estratificacion,Bulk,1.5,62.71,12.06,2.14,Sobreobturado
III,8,Mesial,ninguna,3.13,con_tejido,Estratificacion,Con fibra de vidrio,1.0,66.94,1.56,3.18,Equiobturado
III,8,Mesial,ninguna,4.53,limpia,Estratificacion,Con fibra de vidrio,1.0,114.45,3.85,4.39,Equiobturado
III,8,Mesial,ninguna,1.36,con_tejido,Estratificacion,Compuesta,2.0,62.83,10.38,1.83,Sobreobturado
III,8,Mesial,ninguna,3.92,limpia,Estratificacion,Bulk,1.5,60.12,9.91,3.84,Equiobturado
III,8,Mesial,ninguna,3.71,con_tejido,Bulk,Compuesta,2.0,96.16,19.15,4.1,Sobreobturado
III,8,Mesial,ninguna,2.58,con_tejido,Bulk,Fluida,3.5,97.97,14.66,2.73,Equiobturado
III,8,Mesial,ninguna,2.35,con_tejido,Estratificacion,Con fibra de vidrio,1.0,88.62,2.83,3.1,Sobreobturado
III,8,Mesial,ninguna,3.58,limpia,Bulk,Compuesta,2.0,111.76,8.88,4.34,Sobreobturado
III,8,Mesial,ninguna,2.81,con_tejido,Bulk,Con fibra de vidrio,1.0,98.04,16.64,2.86,Sobreobturado
III,8,Mesial,ninguna,1.56,con_tejido,Estratificacion,Fluida,3.5,84.52,3.9,1.54,Equiobturado
III,8,Mesial,ninguna,3.87,limpia,Bulk,Compuesta,2.0,65.85,2.6,4.82,Sobreobturado
III,8,Distal,ninguna,3.86,con_tejido,Bulk,Con fibra de vidrio,1.0,77.74,11.29,3.71,Equiobturado
III,8,Distal,ninguna,3.04,limpia,Bulk,Fluida,3.5,113.03,12.06,2.51,Subobturado
III,8,Distal,ninguna,2.42,limpia,Estratificacion,Bulk,1.5,82.51,8.23,2.24,Equiobturado
III,8,Distal,ninguna,2.19,limpia,Bulk,Fluida,3.5,104.23,5.18,2.11,Equiobturado
III,8,Distal,ninguna,1.07,limpia,Bulk,Bulk,1.5,86.36,9.1,0.94,Subobturado
III,8,Distal,ninguna,1.63,con_tejido,Estratificacion,Con fibra de vidrio,1.0,98.96,5.52,0.65,Subobturado
III,8,Distal,ninguna,2.57,con_tejido,Bulk,Compuesta,2.0,82.22,3.05,2.42,Subobturado
III,8,Distal,ninguna,3.65,limpia,Estratificacion,Fluida,3.5,98.57,12.92,3.53,Subobturado
III,8,Distal,ninguna,2.75,limpia,Bulk,Compuesta,2.0,63.7,0.37,2.83,Equiobturado
III,8,Distal,ninguna,3.99,limpia,Estratificacion,Con fibra de vidrio,1.0,114.73,18.84,3.74,Subobturado
III,8,Distal,ninguna,1.48,con_tejido,Estratificacion,Bulk,1.5,67.89,0.41,1.54,Equiobturado
III,8,Distal,ninguna,3.98,limpia,Estratificacion,Bulk,1.5,82.57,4.74,4.83,Sobreobturado
III,8,Distal,ninguna,4.41,limpia,Estratificacion,Bulk,1.5,94.8,13.85,4.39,Subobturado
III,8,Distal,ninguna,3.67,con_tejido,Estratificacion,Bulk,1.5,93.9,9.02,4.51,Sobreobturado
III,8,Distal,ninguna,4.59,con_tejido,Estratificacion,Compuesta,2.0,116.53,8.29,4.92,Sobreobturado
III,8,Distal,ninguna,4.72,limpia,Estratificacion,Bulk,1.5,109.56,14.36,4.58,Equiobturado
III,8,Distal,ninguna,1.08,con_tejido,Bulk,Compuesta,2.0,119.12,2.17,2.02,Sobreobturado
III,8,Distal,ninguna,4.07,limpia,Bulk,Bulk,1.5,85.22,12.27,3.94,Equiobturado
III,8,Distal,ninguna,4.46,con_tejido,Estratificacion,Bulk,1.5,63.85,4.43,5.43,Sobreobturado
III,8,Distal,ninguna,1.74,limpia,Estratificacion,Fluida,3.5,82.48,1.27,2.72,Sobreobturado
III,8,Distal,ninguna,4.47,limpia,Bulk,Compuesta,2.0,61.89,3.4,4.43,Equiobturado
III,8,Distal,ninguna,3.05,limpia,Estratificacion,Compuesta,2.0,104.65,10.75,2.97,Equiobturado
III,8,Distal,ninguna,1.23,limpia,Bulk,Bulk,1.5,103.8,8.54,1.38,Equiobturado
III,8,Distal,ninguna,4.44,con_tejido,Estratificacion,Bulk,1.5,79.81,12.36,4.73,Sobreobturado
III,8,Distal,ninguna,3.35,con_tejido,Estratificacion,Compuesta,2.0,105.47,4.9,3.3,Equiobturado
III,9,Mesial,ninguna,2.32,limpia,Bulk,Fluida,3.5,105.57,7.18,2.62,Sobreobturado
III,9,Mesial,ninguna,4.99,limpia,Bulk,Compuesta,2.0,102.72,5.13,4.64,Subobturado
III,9,Mesial,ninguna,1.98,con_tejido,Bulk,Bulk,1.5,116.72,2.55,2.08,Equiobturado
III,9,Mesial,ninguna,4.94,con_tejido,Bulk,Fluida,3.5,103.8,16.4,4.43,Subobturado
III,9,Mesial,ninguna,2.74,con_tejido,Estratificacion,Compuesta,2.0,111.51,1.46,3.3,Sobreobturado
III,9,Mesial,ninguna,1.65,con_tejido,Bulk,Fluida,3.5,93.34,2.47,2.6,Sobreobturado
III,9,Mesial,ninguna,4.37,con_tejido,Estratificacion,Fluida,3.5,108.31,5.83,4.17,Subobturado
III,9,Mesial,ninguna,2.68,limpia,Estratificacion,Bulk,1.5,103.93,15.15,3.05,Sobreobturado
III,9,Mesial,ninguna,1.0,con_tejido,Bulk,Con fibra de vidrio,1.0,82.15,2.61,0.36,Subobturado
III,9,Mesial,ninguna,1.93,con_tejido,Estratificacion,Con fibra de vidrio,1.0,87.16,14.46,2.02,Equiobturado
III,9,Mesial,ninguna,4.66,limpia,Estratificacion,Fluida,3.5,71.81,12.85,4.67,Equiobturado
III,9,Mesial,ninguna,4.75,con_tejido,Bulk,Con fibra de vidrio,1.0,60.51,10.91,4.87,Equiobturado
III,9,Mesial,ninguna,3.21,limpia,Estratificacion,Fluida,3.5,68.32,1.6,3.3,Sobreobturado
III,9,Mesial,ninguna,3.42,limpia,Bulk,Compuesta,2.0,60.37,7.61,4.36,Sobreobturado
III,9,Mesial,ninguna,1.84,limpia,Bulk,Con fibra de vidrio,1.0,117.18,5.78,1.78,Subobturado
III,9,Mesial,ninguna,3.75,limpia,Bulk,Con fibra de vidrio,1.0,115.91,14.0,3.88,Equiobturado
III,9,Mesial,ninguna,2.86,limpia,Estratificacion,Con fibra de vidrio,1.0,82.24,10.53,2.64,Subobturado
III,9,Mesial,ninguna,1.2,con_tejido,Estratificacion,Fluida,3.5,119.12,12.79,1.09,Equiobturado
III,9,Mesial,ninguna,3.69,limpia,Bulk,Compuesta,2.0,83.37,8.45,3.86,Equiobturado
III,9,Mesial,ninguna,4.02,limpia,Bulk,Con fibra de vidrio,1.0,61.93,0.99,3.9,Subobturado
III,9,Mesial,ninguna,1.78,limpia,Estratificacion,Fluida,3.5,75.5,9.5,0.96,Subobturado
III,9,Mesial,ninguna,2.05,con_tejido,Estratificacion,Con fibra de vidrio,1.0,61.3,11.22,2.32,Sobreobturado
III,9,Mesial,ninguna,4.76,con_tejido,Bulk,Fluida,3.5,67.44,4.69,4.84,Equiobturado
III,9,Mesial,ninguna,2.57,con_tejido,Estratificacion,Compuesta,2.0,103.91,11.85,3.35,Sobreobturado
III,9,Mesial,ninguna,2.93,limpia,Estratificacion,Compuesta,2.0,82.77,7.72,2.32,Subobturado
III,9,Distal,ninguna,2.46,con_tejido,Bulk,Compuesta,2.0,93.53,1.4,3.2,Sobreobturado
III,9,Distal,ninguna,2.44,limpia,Bulk,Con fibra de vidrio,1.0,89.14,9.2,2.27,Subobturado
III,9,Distal,ninguna,4.56,con_tejido,Estratificacion,Fluida,3.5,115.59,13.78,4.95,Sobreobturado
III,9,Distal,ninguna,3.54,con_tejido,Estratificacion,Con fibra de vidrio,1.0,85.43,6.48,3.46,Equiobturado
III,9,Distal,ninguna,2.76,con_tejido,Estratificacion,Compuesta,2.0,93.12,9.0,2.93,Equiobturado
III,9,Distal,ninguna,2.21,con_tejido,Bulk,Compuesta,2.0,97.28,12.93,2.34,Equiobturado
III,9,Distal,ninguna,1.56,limpia,Bulk,Compuesta,2.0,86.97,11.65,1.4,Equiobturado
III,9,Distal,ninguna,4.28,limpia,Estratificacion,Con fibra de vidrio,1.0,111.19,20.76,3.7,Subobturado
III,9,Distal,ninguna,1.24,con_tejido,Bulk,Compuesta,2.0,86.85,4.77,1.56,Sobreobturado
III,9,Distal,ninguna,1.08,limpia,Bulk,Con fibra de vidrio,1.0,88.78,1.65,0.15,Subobturado
III,9,Distal,ninguna,3.4,con_tejido,Bulk,Bulk,1.5,97.75,4.9,2.49,Subobturado
III,9,Distal,ninguna,2.52,con_tejido,Bulk,Compuesta,2.0,64.99,8.63,2.59,Equiobturado
III,9,Distal,ninguna,2.77,limpia,Bulk,Fluida,3.5,63.7,7.68,2.59,Equiobturado
III,9,Distal,ninguna,1.36,limpia,Estratificacion,Fluida,3.5,91.29,1.21,1.89,Sobreobturado
III,9,Distal,ninguna,1.95,con_tejido,Bulk,Compuesta,2.0,97.17,4.31,2.08,Equiobturado
III,9,Distal,ninguna,3.9,con_tejido,Estratificacion,Compuesta,2.0,71.87,9.06,4.63,Sobreobturado
III,9,Distal,ninguna,4.21,con_tejido,Estratificacion,Bulk,1.5,116.95,14.6,4.59,Sobreobturado
III,9,Distal,ninguna,4.18,limpia,Bulk,Fluida,3.5,83.49,3.37,3.71,Subobturado
III,9,Distal,ninguna,1.39,con_tejido,Estratificacion,Bulk,1.5,92.4,10.9,1.3,Equiobturado
III,9,Distal,ninguna,3.17,limpia,Bulk,Con fibra de vidrio,1.0,92.45,9.67,3.1,Equiobturado
III,9,Distal,ninguna,1.48,limpia,Bulk,Con fibra de vidrio,1.0,112.18,14.0,1.34,Equiobturado
III,9,Distal,ninguna,2.44,con_tejido,Estratificacion,Bulk,1.5,65.55,4.99,2.39,Subobturado
III,9,Distal,ninguna,2.12,limpia,Bulk,Con fibra de vidrio,1.0,110.46,16.51,2.14,Equiobturado
III,9,Distal,ninguna,3.8,limpia,Bulk,Bulk,1.5,103.16,2.89,3.82,Sobreobturado
III,9,Distal,ninguna,2.75,limpia,Bulk,Fluida,3.5,114.49,8.8,3.18,Sobreobturado
III,10,Mesial,ninguna,4.75,limpia,Estratificacion,Fluida,3.5,109.96,18.97,4.81,Sobreobturado
III,10,Mesial,ninguna,3.74,con_tejido,Bulk,Bulk,1.5,104.12,15.87,4.3,Sobreobturado
III,10,Mesial,ninguna,4.45,limpia,Bulk,Con fibra de vidrio,1.0,95.41,7.43,4.16,Subobturado
III,10,Mesial,ninguna,4.78,limpia,Bulk,Con fibra de vidrio,1.0,119.23,0.83,4.5,Subobturado
III,10,Mesial,ninguna,2.54,limpia,Bulk,Fluida,3.5,91.83,5.06,2.38,Equiobturado
III,10,Mesial,ninguna,2.25,con_tejido,Estratificacion,Bulk,1.5,77.09,5.34,1.99,Subobturado
III,10,Mesial,ninguna,1.3,con_tejido,Estratificacion,Con fibra de vidrio,1.0,117.86,8.05,1.36,Equiobturado
III,10,Mesial,ninguna,4.87,con_tejido,Bulk,Bulk,1.5,68.2,12.84,4.85,Equiobturado
III,10,Mesial,ninguna,1.46,con_tejido,Estratificacion,Bulk,1.5,102.77,18.64,1.65,Equiobturado
III,10,Mesial,ninguna,1.02,limpia,Bulk,Fluida,3.5,114.1,12.82,1.68,Sobreobturado
III,10,Mesial,ninguna,2.91,con_tejido,Bulk,Bulk,1.5,76.04,2.33,2.79,Equiobturado
III,10,Mesial,ninguna,4.27,limpia,Bulk,Bulk,1.5,85.79,9.88,3.81,Subobturado
III,10,Mesial,ninguna,2.47,limpia,Bulk,Compuesta,2.0,86.87,14.66,3.35,Sobreobturado
III,10,Mesial,ninguna,4.23,limpia,Bulk,Compuesta,2.0,80.25,7.22,4.16,Subobturado
III,10,Mesial,ninguna,1.15,con_tejido,Bulk,Compuesta,2.0,61.96,8.9,1.61,Sobreobturado
III,10,Mesial,ninguna,3.8,con_tejido,Bulk,Compuesta,2.0,94.35,10.44,3.99,Sobreobturado
III,10,Mesial,ninguna,2.43,limpia,Bulk,Compuesta,2.0,85.33,16.71,2.58,Equiobturado
III,10,Mesial,ninguna,1.17,limpia,Estratificacion,Fluida,3.5,75.8,6.35,0.2,Subobturado
III,10,Mesial,ninguna,1.16,limpia,Bulk,Con fibra de vidrio,1.0,116.88,15.73,0.28,Subobturado
III,10,Mesial,ninguna,4.62,limpia,Estratificacion,Compuesta,2.0,70.36,2.52,4.93,Sobreobturado
III,10,Mesial,ninguna,3.28,limpia,Bulk,Fluida,3.5,69.92,12.03,3.33,Equiobturado
III,10,Mesial,ninguna,2.09,limpia,Estratificacion,Compuesta,2.0,75.39,10.45,2.38,Sobreobturado
III,10,Mesial,ninguna,4.93,limpia,Bulk,Con fibra de vidrio,1.0,115.53,16.8,5.11,Sobreobturado
III,10,Mesial,ninguna,3.48,limpia,Bulk,Compuesta,2.0,96.71,15.57,2.52,Subobturado
III,10,Mesial,ninguna,3.22,limpia,Bulk,Con fibra de vidrio,1.0,107.21,12.81,2.73,Subobturado
III,10,Distal,ninguna,4.84,limpia,Estratificacion,Fluida,3.5,108.81,15.25,4.92,Equiobturado
III,10,Distal,ninguna,1.89,limpia,Bulk,Compuesta,2.0,61.32,3.21,1.96,Equiobturado
III,10,Distal,ninguna,4.55,con_tejido,Estratificacion,Bulk,1.5,73.63,13.25,4.62,Equiobturado
III,10,Distal,ninguna,3.49,con_tejido,Bulk,Con fibra de vidrio,1.0,113.28,9.93,3.67,Equiobturado
III,10,Distal,ninguna,4.83,con_tejido,Estratificacion,Con fibra de vidrio,1.0,112.97,12.54,5.62,Sobreobturado
III,10,Distal,ninguna,2.01,con_tejido,Estratificacion,Fluida,3.5,75.67,10.61,2.65,Sobreobturado
III,10,Distal,ninguna,4.75,limpia,Estratificacion,Compuesta,2.0,103.36,2.52,3.76,Subobturado
III,10,Distal,ninguna,4.81,limpia,Bulk,Compuesta,2.0,94.24,4.89,4.68,Equiobturado
III,10,Distal,ninguna,1.54,con_tejido,Estratificacion,Fluida,3.5,76.77,3.15,1.01,Subobturado
III,10,Distal,ninguna,3.85,limpia,Bulk,Compuesta,2.0,108.59,0.49,3.05,Subobturado
III,10,Distal,ninguna,2.67,con_tejido,Bulk,Bulk,1.5,104.87,15.83,2.84,Equiobturado
